feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
AC113595.1,Null,0.005207124767019916,0.0015378478280537581,118097.5,0.5010288065843621,0.7386227488507202,1,1.02880658436214,0.8247422680412372,Recruited macrophage,-0,FALSE
Apobec3,Null,0.8800638119233334,0.12508838431620584,132917.5,0.56390267701837,5.357027061025111e-4,0.051781921756046616,81.6872427983539,77.11340206185568,Recruited macrophage,1.2858218358524942,FALSE
Cbx7,Null,0.02092113479315256,-0.008296454915202183,115926,0.4918162148402698,0.24912811595671241,1,4.320987654320987,5.979381443298969,Recruited macrophage,-0,FALSE
Pdgfb,Null,0.1995207940080164,-0.05774459542271801,107335.5,0.4553710067455772,0.0036887194995311808,0.19301508758892086,27.36625514403292,36.907216494845365,Recruited macrophage,0.7144087417667812,FALSE
Gm41361,Null,0,-8.897080110374948e-4,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Rpl3,Null,2.4835119015861125,0.011822372408595072,118888.5,0.5043846251750032,0.8131132698155608,1,99.58847736625515,99.38144329896907,Recruited macrophage,-0,FALSE
Syngr1,Null,0.2800402004113645,-0.16484892062739398,99734,0.42312163251453055,1.6694694898411882e-6,5.084794573539884e-4,29.629629629629626,44.329896907216494,Recruited macrophage,3.293726587948749,TRUE
Tab1,Null,0.02596888328936104,-9.673082555448249e-4,117367,0.4979296593271393,0.7707993136365591,1,4.938271604938271,5.360824742268041,Recruited macrophage,-0,FALSE
Mgat3,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mief1,Null,0.056937574761877836,-0.00576120014813334,116350,0.4936150354248865,0.5347538127953734,1,10.905349794238683,12.164948453608247,Recruited macrophage,-0,FALSE
AC140267.1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Atf4,Null,0.39255653135481755,-0.01582400262982253,116464.5,0.4941008018327606,0.7378160460566614,1,53.70370370370371,54.43298969072165,Recruited macrophage,-0,FALSE
Rps19bp1,Null,0.28095694432251,0.03619670222404381,123347,0.5232998175724407,0.15798063357444084,1,42.38683127572017,39.175257731958766,Recruited macrophage,-0,FALSE
Cacna1i,Null,5.001778930786112e-4,-2.0289384556940605e-4,117854,0.4999957574986212,0.9988373214673868,1,0.205761316872428,0.2061855670103093,Recruited macrophage,-0,FALSE
Gm31369,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Enthd1,Null,0,-8.740080586290777e-4,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Grap2,Null,0.061811939486226604,-0.034935920051254864,111523,0.4731364812693564,0.01067025664825218,0.3692274768368935,9.465020576131687,14.845360824742269,Recruited macrophage,0.43270598750901573,FALSE
Fam83f,Null,0.019416726799659147,-0.01499384750282938,115331,0.48929192651987613,0.1315440065221878,1,4.11522633744856,6.185567010309279,Recruited macrophage,-0,FALSE
A430088P11Rik,Null,0.0033442839487530817,-0.0015005023338148485,117130,0.49692418650036063,0.2578233960436246,1,0.411522633744856,1.0309278350515463,Recruited macrophage,-0,FALSE
Tnrc6b,Null,0.296231944950629,-0.028133443526801805,113160.5,0.4800835772771626,0.2372251905105639,1,42.181069958847736,46.18556701030928,Recruited macrophage,-0,FALSE
Gm49512,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Adsl,Null,0.0922960464824414,-0.011851775113772375,114551.5,0.48598489669509143,0.2582132676298049,1,16.46090534979424,19.381443298969074,Recruited macrophage,-0,FALSE
Sgsm3,Null,0.028653468352414366,-0.015420148484362555,115874,0.49159560476857156,0.3152666077859373,1,6.584362139917696,8.041237113402062,Recruited macrophage,-0,FALSE
Gm31462,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mrtfa,Null,0.10777065738226427,-0.008646795418596476,115828.5,0.49140257095583556,0.5058190387921688,1,18.930041152263374,20.824742268041238,Recruited macrophage,-0,FALSE
